model,feature_set,windows,lag_steps,n_features,best_epoch,rmse,mae
gru,rolling_mean,20.0,,16,3,13.056897097639723,9.767600725696262
gru,rolling_mean,15.0,,16,3,13.173252296338813,9.948920398472705
gru,rolling_mean,10.0,,16,5,13.334777240184833,9.81002665109023
gru,rolling_mean,8.0,,16,4,13.38532524011666,10.003762100196568
gru,rolling_mean,6.0,,16,5,13.405129419329707,9.783937347029603
gru,rolling_mean,4.0,,16,5,13.496259057098175,9.846704427975386
gru,rolling_mean,2.0,,16,5,13.560002773532034,9.87662543272191
gru,raw_plus_rolling_mean,10.0,,32,5,13.718891399211826,10.060714759816836
gru,raw_plus_rolling_mean,8.0,,32,5,13.779796670767222,10.122105639425236
gru,raw_plus_rolling_mean,20.0,,32,1,13.860977183246357,10.217477430790684
gru,raw_plus_rolling_mean,6.0,,32,5,13.935119404345352,10.152072659315268
gru,raw,,,16,3,14.0437299446589,10.309856263810968
gru,raw_plus_rolling_mean,15.0,,32,5,14.13709027394324,10.324921722496333
gru,raw_plus_rolling_mean,4.0,,32,5,14.293205489016165,10.350767381840132
gru,raw_plus_rolling_mean,2.0,,32,5,14.394518533932567,10.49507183502315
gru,raw_plus_lag,,4.0,32,1,21.12614495476073,16.331543573765924
gru,raw_plus_lag,,2.0,32,1,21.615562269041988,16.67936623250265
gru,raw_plus_lag,,8.0,32,1,22.539209219576865,17.175302258674474
gru,lag,,8.0,16,2,28.703878149502607,22.225253072806
gru,lag,,4.0,16,2,31.57266846685544,24.25372238504313
gru,lag,,2.0,16,1,36.23780899438876,29.5746079986168
