model,feature_set,windows,lag_steps,n_features,best_epoch,rmse,mae
gru,rolling_mean,20.0,,15,12,10.819381147622105,7.9218046309985475
gru,rolling_mean,15.0,,15,12,10.906887290346306,7.908393963569748
gru,raw_plus_rolling_mean,15.0,,30,5,10.99606131847548,8.532000412277045
gru,raw_plus_rolling_mean,20.0,,30,5,11.035932284356884,8.59341379193386
gru,rolling_mean,10.0,,15,12,11.103119708016129,8.156659478652585
gru,raw_plus_rolling_mean,10.0,,30,5,11.126567811083332,8.46263086247041
gru,raw_plus_rolling_mean,8.0,,30,5,11.182990027525708,8.388800130319728
gru,rolling_mean,8.0,,15,9,11.245078770125216,8.106470172302258
gru,rolling_mean,6.0,,15,9,11.28108972492008,8.147057158057734
gru,rolling_mean,4.0,,15,9,11.318678648969447,8.190131424145314
gru,raw,,,15,6,11.35669687154564,8.53167527739816
gru,raw_plus_rolling_mean,6.0,,30,5,11.376464217371232,8.43325281388115
gru,rolling_mean,2.0,,15,10,11.466701582517752,8.502846668313934
gru,raw_plus_rolling_mean,4.0,,30,5,11.532841801983803,8.486086471986482
gru,raw_plus_rolling_mean,2.0,,30,5,11.629371436030487,8.653644494652186
gru,raw_plus_lag,,4.0,30,22,21.87671967852951,16.4195341531621
gru,raw_plus_lag,,2.0,30,2,22.063450526974503,16.235024455255385
gru,raw_plus_lag,,8.0,30,7,22.847693906980545,16.650611455438217
gru,lag,,8.0,15,1,28.927306599076143,22.15037065367484
gru,lag,,4.0,15,1,29.178778486057,22.784134889337388
gru,lag,,2.0,15,1,30.190617328468942,23.87627573940943
