architecture,subset,feature_config,rolling_window,lag_step,sequence_window,hidden_size,learning_rate,seed,n_features,n_train_windows,n_val_windows,best_epoch,val_rmse,val_mae,training_duration_seconds
gru,FD003,raw,,,30,64,0.001,42,12,17754,4066,15,11.270384739136386,7.697461107894192,76.37876867083833
gru,FD003,raw+rolling_mean,5,,30,64,0.001,42,24,17754,4066,15,11.11587695884546,7.568671926140027,71.73343120515347
gru,FD003,raw+rolling_mean,20,,30,64,0.001,42,24,17754,4066,10,11.30377236065949,7.8008803118252095,53.80241013504565
gru,FD003,raw+rolling_std,5,,30,64,0.001,42,24,17754,4066,3,14.626279442568208,10.362763371635843,32.83406172506511
gru,FD003,raw+rolling_std,20,,30,64,0.001,42,24,17754,4066,4,13.602163436225995,9.529219805180066,36.461967784911394
gru,FD003,raw+rolling_min,5,,30,64,0.001,42,24,17754,4066,15,11.746122404124485,8.498569901176879,73.54377716593444
gru,FD003,raw+rolling_min,20,,30,64,0.001,42,24,17754,4066,7,12.119830153087888,8.651620256701237,44.80226937914267
gru,FD003,raw+rolling_max,5,,30,64,0.001,42,24,17754,4066,10,11.666426398464827,8.299029430276699,53.79947560187429
gru,FD003,raw+rolling_max,20,,30,64,0.001,42,24,17754,4066,7,12.574091360626852,9.113141441647883,45.027537260204554
gru,FD003,raw+rolling_slope,5,,30,64,0.001,42,24,17754,4066,6,12.315291764998946,8.979938388292243,42.0826005092822
gru,FD003,raw+rolling_slope,20,,30,64,0.001,42,24,17754,4066,5,10.298903182601721,7.0516691473805135,39.067581763956696
gru,FD003,raw+rolling_delta,5,,30,64,0.001,42,24,17754,4066,6,11.878738412228616,8.473398166549,42.14086500927806
gru,FD003,raw+rolling_delta,20,,30,64,0.001,42,24,17754,4066,6,10.829529116106013,7.352695705511127,46.57690888317302
gru,FD003,raw+lag,,1,30,64,0.001,42,24,17754,4066,15,11.885480972265187,8.42874790891337,71.29804933490232
gru,FD003,raw+lag,,5,30,64,0.001,42,24,17754,4066,10,11.408829078553586,7.917845093018471,53.8899699030444
gru,FD003,raw,,,60,64,0.001,42,12,15354,3466,11,10.06729984171934,7.039651407442656,90.40632216772065
gru,FD003,raw+rolling_mean,5,,60,64,0.001,42,24,15354,3466,6,10.676289769700276,7.757932571968869,72.46065801708028
gru,FD003,raw+rolling_mean,20,,60,64,0.001,42,24,15354,3466,10,10.784930143375538,8.110934084378865,86.4430110421963
gru,FD003,raw+rolling_std,5,,60,64,0.001,42,24,15354,3466,4,13.638082321219587,10.012559871949053,57.62126213684678
gru,FD003,raw+rolling_std,20,,60,64,0.001,42,24,15354,3466,4,12.129220574743533,9.281368198610823,59.10476930299774
gru,FD003,raw+rolling_min,5,,60,64,0.001,42,24,15354,3466,6,10.74348623800159,7.8785960652314095,67.38145264284685
gru,FD003,raw+rolling_min,20,,60,64,0.001,42,24,15354,3466,3,11.950793700223587,8.994567244017212,55.5305399838835
gru,FD003,raw+rolling_max,5,,60,64,0.001,42,24,15354,3466,6,11.154125152107076,8.117259345874668,67.4786645481363
gru,FD003,raw+rolling_max,20,,60,64,0.001,42,24,15354,3466,4,11.847812026577763,8.903103811013153,57.376925440039486
gru,FD003,raw+rolling_slope,5,,60,64,0.001,42,24,15354,3466,5,11.751796718450985,8.75940606444532,62.37789240619168
gru,FD003,raw+rolling_slope,20,,60,64,0.001,42,24,15354,3466,4,10.805563996970294,8.121835146928545,61.23346545826644
gru,FD003,raw+rolling_delta,5,,60,64,0.001,42,24,15354,3466,5,11.544153222195918,8.478275450773321,63.48074885876849
gru,FD003,raw+rolling_delta,20,,60,64,0.001,42,24,15354,3466,4,11.152507377549862,8.381303132058306,58.66279331874102
gru,FD003,raw+lag,,1,60,64,0.001,42,24,15354,3466,6,10.935873572884807,7.924437826836027,67.7487547500059
gru,FD003,raw+lag,,5,60,64,0.001,42,24,15354,3466,11,10.821820342221313,8.058730188311134,91.8432966680266
