architecture,subset,feature_config,rolling_window,lag_step,sequence_window,hidden_size,learning_rate,seed,n_features,n_train_windows,n_val_windows,best_epoch,val_rmse,val_mae,training_duration_seconds
lstm,FD003,raw,,,30,64,0.001,42,12,17754,4066,15,11.441287083407572,7.293135944543158,136.78775820089504
lstm,FD003,raw+rolling_mean,5,,30,64,0.001,42,24,17754,4066,8,11.293422583807082,7.506206292457479,93.55925817089155
lstm,FD003,raw+rolling_mean,20,,30,64,0.001,42,24,17754,4066,12,11.522726172782757,7.481502757016964,130.56652249908075
lstm,FD003,raw+rolling_std,5,,30,64,0.001,42,24,17754,4066,2,14.444092265571674,10.541004570951412,57.82393019320443
lstm,FD003,raw+rolling_std,20,,30,64,0.001,42,24,17754,4066,5,14.001074695108162,9.616084166015904,89.49494781484827
lstm,FD003,raw+rolling_min,5,,30,64,0.001,42,24,17754,4066,8,11.171761224486655,7.807564751966593,105.7539461911656
lstm,FD003,raw+rolling_min,20,,30,64,0.001,42,24,17754,4066,5,13.353579115384258,8.990440432946126,90.8990527978167
lstm,FD003,raw+rolling_max,5,,30,64,0.001,42,24,17754,4066,12,11.863240982805992,8.078717270773499,126.41226758575067
lstm,FD003,raw+rolling_max,20,,30,64,0.001,42,24,17754,4066,12,13.935762361422663,8.813121699729447,128.53511029621586
lstm,FD003,raw+rolling_slope,5,,30,64,0.001,42,24,17754,4066,2,11.620190604520799,8.970941186387346,70.99822378577664
lstm,FD003,raw+rolling_slope,20,,30,64,0.001,42,24,17754,4066,2,10.251329087241336,7.834115324013276,60.2503004539758
lstm,FD003,raw+rolling_delta,5,,30,64,0.001,42,24,17754,4066,2,11.409940929501838,8.335479346061362,69.7600651299581
lstm,FD003,raw+rolling_delta,20,,30,64,0.001,42,24,17754,4066,2,10.6036048147467,7.826309821281199,62.23236295906827
lstm,FD003,raw+lag,,1,30,64,0.001,42,24,17754,4066,8,11.340267812678237,7.491562284957993,95.22408431908116
lstm,FD003,raw+lag,,5,30,64,0.001,42,24,17754,4066,6,11.831781093628596,7.985175335635942,87.22779922187328
lstm,FD003,raw,,,60,64,0.001,42,12,15354,3466,18,10.638362612155069,7.501528181293652,132.00684139318764
lstm,FD003,raw+rolling_mean,5,,60,64,0.001,42,24,15354,3466,18,10.685138277760442,7.217184801484403,129.85353986127302
lstm,FD003,raw+rolling_mean,20,,60,64,0.001,42,24,15354,3466,11,11.046061290334919,7.759855734417618,98.20726347295567
lstm,FD003,raw+rolling_std,5,,60,64,0.001,42,24,15354,3466,4,15.181368473264778,10.916867894650933,60.60584475379437
lstm,FD003,raw+rolling_std,20,,60,64,0.001,42,24,15354,3466,1,14.52496603261424,10.845668770860831,47.83151944587007
lstm,FD003,raw+rolling_min,5,,60,64,0.001,42,24,15354,3466,4,10.823159517724402,8.202467372616248,60.22301621828228
lstm,FD003,raw+rolling_min,20,,60,64,0.001,42,24,15354,3466,3,12.070699623544026,8.706478251650525,55.20532879885286
lstm,FD003,raw+rolling_max,5,,60,64,0.001,42,24,15354,3466,6,11.73435360732705,8.707127787570474,70.26845138007775
lstm,FD003,raw+rolling_max,20,,60,64,0.001,42,24,15354,3466,4,14.06790372750902,9.885397211925287,61.13469125283882
lstm,FD003,raw+rolling_slope,5,,60,64,0.001,42,24,15354,3466,3,10.913437278419043,7.708152739130137,58.43962117098272
lstm,FD003,raw+rolling_slope,20,,60,64,0.001,42,24,15354,3466,2,10.41881620906551,7.895665567873429,54.90790848014876
lstm,FD003,raw+rolling_delta,5,,60,64,0.001,42,24,15354,3466,3,11.057934150590672,7.660645287627955,55.42364195967093
lstm,FD003,raw+rolling_delta,20,,60,64,0.001,42,24,15354,3466,2,10.165625004115169,7.559919931172929,52.5943944491446
lstm,FD003,raw+lag,,1,60,64,0.001,42,24,15354,3466,8,11.038929133540922,7.41973813753027,82.21736372727901
lstm,FD003,raw+lag,,5,60,64,0.001,42,24,15354,3466,8,11.449793220078881,7.6877626036925255,82.85719889774919
