model,feature_set,windows,lag_steps,n_features,best_epoch,n_engines_total,n_engines_padded,n_engines_full,rmse,mae,sequence_window_size,hidden_size,learning_rate
gru,rolling_mean,"(10,)",(),16,6,52,0,52,12.782342664420389,9.369898019420702,60,64,0.001
gru,rolling_mean,"(15,)",(),16,6,52,0,52,13.03925265585525,9.689947686814012,60,64,0.001
gru,rolling_mean,"(20,)",(),16,3,52,0,52,13.056895106218713,9.767517352617949,45,64,0.001
gru,rolling_mean,"(20,)",(),16,6,52,0,52,13.171238026799958,9.790958990494708,60,64,0.001
gru,rolling_mean,"(15,)",(),16,3,52,0,52,13.17315633107098,9.948778741400108,45,64,0.001
gru,rolling_mean,"(20,)",(),16,9,52,0,52,13.279996155126064,9.677492099803146,30,64,0.001
gru,rolling_mean,"(10,)",(),16,5,52,0,52,13.334850398125813,9.810154250139902,45,64,0.001
gru,raw,(),(),16,4,52,0,52,13.487932840331004,9.969586385798872,60,64,0.001
gru,rolling_mean,"(15,)",(),16,5,52,0,52,13.553473704238655,9.88475334077885,30,64,0.001
gru,rolling_mean,"(10,)",(),16,4,52,0,52,13.960359072740816,10.158840724592135,30,64,0.001
gru,raw,(),(),16,3,52,0,52,14.043662925610963,10.309854838514363,45,64,0.001
gru,raw,(),(),16,4,52,0,52,15.242840701041546,11.536925788650231,30,64,0.001
