model,feature_set,windows,lag_steps,n_features,best_epoch,n_engines_total,n_engines_padded,n_engines_full,rmse,mae,sequence_window_size,hidden_size,learning_rate
gru,raw_plus_rolling_mean,"(10,)",(),28,2,50,0,50,14.730309292361408,9.486305671515685,45,64,0.001
gru,raw_plus_rolling_mean,"(15,)",(),28,2,50,0,50,14.730695546843082,9.282788642305382,45,64,0.001
gru,raw_plus_rolling_mean,"(10,)",(),28,6,50,0,50,14.98046646399102,9.320998487665882,45,64,0.0003
gru,raw_plus_rolling_mean,"(15,)",(),28,2,50,0,50,15.056807140780503,9.48628862885342,45,128,0.001
gru,raw_plus_rolling_mean,"(15,)",(),28,7,50,0,50,15.119937841965685,9.120168487827868,45,64,0.0003
gru,raw_plus_rolling_mean,"(10,)",(),28,1,50,0,50,15.156552389494179,10.048674958639813,45,128,0.001
gru,raw_plus_rolling_mean,"(15,)",(),28,5,50,0,50,15.440421651293454,9.609559472000404,45,128,0.0003
gru,raw_plus_rolling_mean,"(10,)",(),28,19,50,0,50,15.46056429973279,9.665222105956278,45,32,0.0003
gru,raw_plus_rolling_mean,"(10,)",(),28,5,50,0,50,15.468959502177674,9.873929201893727,45,32,0.001
gru,raw_plus_rolling_mean,"(15,)",(),28,19,50,0,50,15.530160310819022,9.705171996918219,45,32,0.0003
gru,raw_plus_rolling_mean,"(15,)",(),28,5,50,0,50,15.53135596325998,9.796423780544654,45,32,0.001
gru,raw_plus_rolling_mean,"(10,)",(),28,2,50,0,50,15.572918527192027,10.215938431247823,45,128,0.0003
