architecture,subset,feature_config,rolling_window,lag_step,sequence_window,hidden_size,learning_rate,seed,n_features,n_train_windows,n_val_windows,best_epoch,val_rmse,val_mae,training_duration_seconds
gru,FD002,raw,,,30,64,0.001,42,16,37051,9168,4,15.330694130600351,11.607500822452364,92.9284460931085
gru,FD002,raw+rolling_mean,5,,30,64,0.001,42,32,37051,9168,4,15.048614278056194,11.260830119341193,86.49242975888774
gru,FD002,raw+rolling_mean,20,,30,64,0.001,42,32,37051,9168,5,13.877654580239165,9.887188646489312,92.1038751937449
gru,FD002,raw+rolling_std,5,,30,64,0.001,42,32,37051,9168,2,17.627349789935096,12.903208667563964,66.17096601705998
gru,FD002,raw+rolling_std,20,,30,64,0.001,42,32,37051,9168,2,16.544961563697527,12.587202372803088,65.88698436133564
gru,FD002,raw+rolling_min,5,,30,64,0.001,42,32,37051,9168,4,15.811999724186435,11.751330981837231,75.89693983690813
gru,FD002,raw+rolling_min,20,,30,64,0.001,42,32,37051,9168,2,14.942241223362993,11.126762122121423,64.15879622288048
gru,FD002,raw+rolling_max,5,,30,64,0.001,42,32,37051,9168,3,15.792486265444225,11.444509017855793,74.70790922595188
gru,FD002,raw+rolling_max,20,,30,64,0.001,42,32,37051,9168,4,14.980721755209737,11.167037857250257,81.85942614125088
gru,FD002,raw+rolling_slope,5,,30,64,0.001,42,32,37051,9168,2,16.515451165025954,11.818480180816183,66.77108818106353
gru,FD002,raw+rolling_slope,20,,30,64,0.001,42,32,37051,9168,3,13.278783211134739,9.31201863461044,70.88914694078267
gru,FD002,raw+rolling_delta,5,,30,64,0.001,42,32,37051,9168,2,16.226463439250974,11.829431423163658,62.57137832371518
gru,FD002,raw+rolling_delta,20,,30,64,0.001,42,32,37051,9168,2,13.396639383718739,9.720035399243246,70.37043391074985
gru,FD002,raw+lag,,1,30,64,0.001,42,32,37051,9168,2,15.973269573758001,11.645182324266614,72.44342767400667
gru,FD002,raw+lag,,5,30,64,0.001,42,32,37051,9168,2,15.331931184190614,11.234835423024073,61.99904444999993
gru,FD002,raw,,,60,64,0.001,42,16,30811,7608,4,13.472270243526292,10.00133832540367,120.10764815006405
gru,FD002,raw+rolling_mean,5,,60,64,0.001,42,32,30811,7608,3,13.893206488315567,10.364273393030164,117.87104583298787
gru,FD002,raw+rolling_mean,20,,60,64,0.001,42,32,30811,7608,3,14.122902398565342,10.854651483281131,109.11920177703723
gru,FD002,raw+rolling_std,5,,60,64,0.001,42,32,30811,7608,3,15.098708127538115,11.358092979481983,108.81315781408921
gru,FD002,raw+rolling_std,20,,60,64,0.001,42,32,30811,7608,2,15.426746098656734,11.889661670922958,104.65874330094084
gru,FD002,raw+rolling_min,5,,60,64,0.001,42,32,30811,7608,3,14.454507163122841,10.925545377727328,115.56725226715207
gru,FD002,raw+rolling_min,20,,60,64,0.001,42,32,30811,7608,2,13.985026256317608,10.675956155917266,104.21028815768659
gru,FD002,raw+rolling_max,5,,60,64,0.001,42,32,30811,7608,3,13.893674605590457,10.544954447316634,108.40848289104179
gru,FD002,raw+rolling_max,20,,60,64,0.001,42,32,30811,7608,3,13.732998543792874,10.439772098661097,110.95343516301364
gru,FD002,raw+rolling_slope,5,,60,64,0.001,42,32,30811,7608,1,15.664556492939004,11.754790103809711,91.49234881438315
gru,FD002,raw+rolling_slope,20,,60,64,0.001,42,32,30811,7608,1,13.206028559856108,9.833423932458516,94.10541837103665
gru,FD002,raw+rolling_delta,5,,60,64,0.001,42,32,30811,7608,1,15.677742417516173,11.775707054483684,90.73674427578226
gru,FD002,raw+rolling_delta,20,,60,64,0.001,42,32,30811,7608,1,13.658235649928901,10.0754453656058,104.66808581026271
gru,FD002,raw+lag,,1,60,64,0.001,42,32,30811,7608,3,14.148884451335038,10.624366161994711,111.75268535595387
gru,FD002,raw+lag,,5,60,64,0.001,42,32,30811,7608,3,14.35465416794437,10.947085090655321,113.82139494409785
