architecture,subset,feature_config,rolling_window,lag_step,sequence_window,hidden_size,learning_rate,seed,n_features,n_train_windows,n_val_windows,best_epoch,val_rmse,val_mae,training_duration_seconds
gru,FD001,raw+rolling_slope,20,,60,64,0.001,42,30,12059,2672,5,9.809568474315537,7.305675668279434,64.10309697780758
gru,FD001,raw+rolling_slope,20,,60,64,0.001,43,30,12059,2672,2,10.534183946965172,7.970608331527963,37.82462237030268
gru,FD001,raw+rolling_slope,20,,60,64,0.001,44,30,12059,2672,4,10.528927725815482,7.928258589927761,43.99291471717879
gru,FD001,raw+rolling_slope,20,,60,64,0.001,45,30,12059,2672,3,10.52973294016174,7.93371516069771,40.67087225290015
gru,FD001,raw+rolling_slope,20,,60,64,0.001,46,30,12059,2672,3,10.567064959587475,8.023053052099032,40.561010803095996
gru,FD002,raw+rolling_slope,20,,60,64,0.001,42,32,30811,7608,1,13.206028559856108,9.833423932458516,87.25779046723619
gru,FD002,raw+rolling_slope,20,,60,64,0.001,43,32,30811,7608,1,12.966412896171567,9.59191500706773,90.94041115697473
gru,FD002,raw+rolling_slope,20,,60,64,0.001,44,32,30811,7608,2,12.927604766219787,9.308442832130133,100.48081728303805
gru,FD002,raw+rolling_slope,20,,60,64,0.001,45,32,30811,7608,1,13.037128134517596,9.994844382848164,86.37015785789117
gru,FD002,raw+rolling_slope,20,,60,64,0.001,46,32,30811,7608,3,13.255693044476484,9.606313158386337,108.99447501869872
gru,FD003,raw,,,60,64,0.001,42,12,15354,3466,11,10.06729984171934,7.039651407442656,97.59038099600002
gru,FD003,raw,,,60,64,0.001,43,12,15354,3466,8,10.577572216719249,7.919877962786995,76.84155998984352
gru,FD003,raw,,,60,64,0.001,44,12,15354,3466,7,10.595561585080494,7.716596468139507,73.08739403588697
gru,FD003,raw,,,60,64,0.001,45,12,15354,3466,8,10.464449812512415,7.5754018896224435,74.61085405386984
gru,FD003,raw,,,60,64,0.001,46,12,15354,3466,10,10.571804622100744,7.698389191113829,85.93020252883434
gru,FD004,raw+rolling_mean,20,,30,64,0.001,42,28,42960,11068,5,15.099615079186199,9.189396682561231,93.8608007770963
gru,FD004,raw+rolling_mean,20,,30,64,0.001,43,28,42960,11068,5,14.820552506678018,8.882421218728688,95.80516055319458
gru,FD004,raw+rolling_mean,20,,30,64,0.001,44,28,42960,11068,5,14.95906599920118,9.43170441585392,103.33575700223446
gru,FD004,raw+rolling_mean,20,,30,64,0.001,45,28,42960,11068,5,14.934351899297575,9.337927382050959,93.1418820261024
gru,FD004,raw+rolling_mean,20,,30,64,0.001,46,28,42960,11068,4,15.001940809819898,9.171984832780991,88.02996146911755
lstm,FD001,raw+rolling_slope,20,,60,64,0.001,42,30,12059,2672,4,9.289532839492166,6.833737566334497,109.89878998184577
lstm,FD001,raw+rolling_slope,20,,60,64,0.001,43,30,12059,2672,4,10.258763550723467,7.650575525843967,102.9249562760815
lstm,FD001,raw+rolling_slope,20,,60,64,0.001,44,30,12059,2672,5,10.037829794796124,7.246171978023461,111.99548497004434
lstm,FD001,raw+rolling_slope,20,,60,64,0.001,45,30,12059,2672,4,9.573075367334047,7.271143941325833,97.85258642397821
lstm,FD001,raw+rolling_slope,20,,60,64,0.001,46,30,12059,2672,5,9.430082482292564,6.975062670386926,112.90279733808711
lstm,FD002,raw+rolling_slope,20,,30,64,0.001,42,32,37051,9168,3,12.874179320904622,9.172793846646483,80.63021436240524
lstm,FD002,raw+rolling_slope,20,,30,64,0.001,43,32,37051,9168,1,13.197667087387384,9.71130893514516,61.451376968063414
lstm,FD002,raw+rolling_slope,20,,30,64,0.001,44,32,37051,9168,2,13.105277002794981,9.398771735992227,66.86921238899231
lstm,FD002,raw+rolling_slope,20,,30,64,0.001,45,32,37051,9168,2,13.270530917737975,9.457673240695181,69.03703848691657
lstm,FD002,raw+rolling_slope,20,,30,64,0.001,46,32,37051,9168,2,13.503819962428432,9.354588265618533,69.93475751485676
lstm,FD003,raw+rolling_delta,20,,60,64,0.001,42,24,15354,3466,2,10.165625004115169,7.559919931172929,52.25064727477729
lstm,FD003,raw+rolling_delta,20,,60,64,0.001,43,24,15354,3466,4,10.498833529877516,7.631431946870309,61.547405974939466
lstm,FD003,raw+rolling_delta,20,,60,64,0.001,44,24,15354,3466,3,11.043669875651707,8.469802079777638,56.48530874820426
lstm,FD003,raw+rolling_delta,20,,60,64,0.001,45,24,15354,3466,4,10.354097589790788,7.309673225810236,65.03675556508824
lstm,FD003,raw+rolling_delta,20,,60,64,0.001,46,24,15354,3466,3,10.570241437568535,7.274207424894792,57.53046065103263
lstm,FD004,raw+rolling_mean,20,,30,64,0.001,42,28,42960,11068,7,15.352692565445297,8.884530629536066,177.3254028307274
lstm,FD004,raw+rolling_mean,20,,30,64,0.001,43,28,42960,11068,4,14.991531338656506,8.98860129765038,136.14835991617292
lstm,FD004,raw+rolling_mean,20,,30,64,0.001,44,28,42960,11068,2,15.02804156910185,9.55944177571194,113.67168664420024
lstm,FD004,raw+rolling_mean,20,,30,64,0.001,45,28,42960,11068,5,14.969644921335753,9.164861528696152,138.1429539769888
lstm,FD004,raw+rolling_mean,20,,30,64,0.001,46,28,42960,11068,4,14.912488891556967,8.707200816088973,131.21763140987605
