model,feature_set,windows,lag_steps,n_features,best_epoch,rmse,mae
gru,raw_plus_rolling_mean,10.0,,28,2,14.730621832173068,9.48718773752428
gru,raw_plus_rolling_mean,15.0,,28,2,14.730698184889988,9.28302338171803
gru,raw_plus_rolling_mean,8.0,,28,2,14.898380204843582,9.603483544896914
gru,raw_plus_rolling_mean,20.0,,28,2,14.919355631012746,9.256700012783778
gru,raw_plus_rolling_mean,6.0,,28,2,15.0970908891002,9.745953300896684
gru,rolling_mean,10.0,,14,7,15.098698629185362,8.661763000205076
gru,rolling_mean,8.0,,14,7,15.1245713607441,8.747641693733533
gru,rolling_mean,6.0,,14,7,15.169013312891964,8.857552561172785
gru,rolling_mean,4.0,,14,7,15.17417294973872,8.856136882162097
gru,rolling_mean,15.0,,14,5,15.191762072697594,8.999622368883255
gru,raw_plus_rolling_mean,4.0,,28,2,15.2906951826301,9.853189008324518
gru,rolling_mean,2.0,,14,5,15.395712197705532,9.11171883102604
gru,rolling_mean,20.0,,14,5,15.410794526115168,9.090054526253176
gru,raw_plus_rolling_mean,2.0,,28,2,15.447090597778642,9.985897880412216
gru,raw,,,14,5,15.503590669898912,9.169368557864845
gru,raw_plus_lag,,4.0,28,2,20.281470954856395,14.562219328673589
gru,raw_plus_lag,,8.0,28,2,21.05873885034994,15.195424041594356
gru,raw_plus_lag,,2.0,28,1,21.554087364099438,15.433827334783508
gru,lag,,8.0,14,6,25.653307102368892,18.15243206481877
gru,lag,,4.0,14,1,27.232962031952063,21.017282284968097
gru,lag,,2.0,14,1,29.31042458475926,22.66030352532735
