model,feature_set,windows,lag_steps,n_features,alpha,rmse,mae
ridge,raw_plus_rolling_mean,4.0,,32,100.0,19.35279454049695,14.741604877376597
ridge,raw_plus_rolling_mean,6.0,,32,100.0,19.375612546672624,14.76136385268332
ridge,rolling_mean,4.0,,16,100.0,19.379523482793815,14.76440076850828
ridge,rolling_mean,6.0,,16,100.0,19.440018193081645,14.810100494645688
ridge,raw_plus_rolling_mean,8.0,,32,100.0,19.4497250770632,14.825821325670413
ridge,raw_plus_rolling_mean,10.0,,32,100.0,19.53960952636716,14.91016220945846
ridge,rolling_mean,8.0,,16,100.0,19.571271010567965,14.920680057275934
ridge,raw_plus_rolling_mean,2.0,,32,100.0,19.62057089697809,14.989073276461466
ridge,rolling_mean,2.0,,16,100.0,19.62550487576184,14.993243722699882
ridge,rolling_mean,10.0,,16,100.0,19.73208519781704,15.057244320457423
ridge,raw_plus_rolling_mean,15.0,,32,100.0,19.750588669002187,15.11383845595876
ridge,raw_plus_rolling_mean,20.0,,32,100.0,19.90635336307115,15.26366822631576
ridge,rolling_mean,15.0,,16,100.0,20.188156751013818,15.4506694242817
ridge,raw,,,16,100.0,20.3911235835105,15.636193653387249
ridge,raw_plus_lag,,8.0,32,100.0,20.396407459766028,15.640984850552414
ridge,raw_plus_lag,,2.0,32,100.0,20.39670796214065,15.64256173434842
ridge,raw_plus_lag,,4.0,32,100.0,20.425353422058507,15.64568998548826
ridge,rolling_mean,20.0,,16,100.0,20.6739009680374,15.875822972877186
ridge,lag,,2.0,16,100.0,41.61581404098741,36.84713496540944
ridge,lag,,8.0,16,100.0,41.67254212793579,36.90868553254247
ridge,lag,,4.0,16,100.0,41.71188109331384,36.94602415178989
