window_size,hidden_size,learning_rate,best_epoch,rmse,mae,phm08_score
15,32,0.0001,1,0.0,0.0,0.0
15,64,0.0001,1,0.0,0.0,0.0
20,64,0.0001,1,0.0,0.0,0.0
20,32,0.0001,1,0.0,0.0,0.0
30,32,0.0001,1,0.0,0.0,0.0
45,32,0.0001,1,0.0,0.0,0.0
30,64,0.0001,1,0.0,0.0,0.0
45,64,0.0001,1,0.0,0.0,0.0
15,128,0.0005,10,0.36342216244935255,0.1285746932029724,0.27087055501724255
15,128,0.001,25,0.34914939770689496,0.16965358555316926,0.3518366079209905
30,128,0.001,13,0.5230230266433997,0.17819278240203856,0.3855535444136329
45,64,0.001,15,0.5507611597360963,0.27922651171684265,0.5902077613575212
20,128,0.001,9,0.6596395875901364,0.27564807534217833,0.5978852168058746
20,128,0.0005,12,0.617472617538594,0.33476120233535767,0.7093250723681859
20,64,0.0005,21,0.6292996292187469,0.38099017143249514,0.8032727669596562
45,128,0.0005,10,0.7903674540468436,0.39881571829319,0.8645687419402115
15,64,0.0005,20,0.7997069053452038,0.41521029472351073,0.8985865528955332
15,32,0.0005,25,0.7679750970246548,0.4550067067146301,0.9721551283323475
45,128,0.001,15,0.8610903118427067,0.5312500059604645,1.1409224572284007
30,128,0.0005,24,1.0552231559106133,0.5199513822793961,1.1610576544992683
15,32,0.001,19,1.1288246163954605,0.6668254017829895,1.4717375487607294
30,32,0.0005,18,1.2145329993889271,0.6630933940410614,1.4901769989083185
20,32,0.0005,24,0.9340953235994485,0.7171651124954224,1.5259435838724233
20,64,0.001,9,1.1252912087119777,0.7692232728004456,1.6742124845647148
30,64,0.0005,17,1.3111198284066115,0.746450412273407,1.6825185034624257
20,32,0.001,13,1.1933631218496248,0.9032894253730774,1.9582700676672875
30,64,0.001,7,1.1927865168183145,0.9351948142051697,2.0207519831675045
45,64,0.0005,10,1.3522412183322672,1.1208824038505554,2.4367195686548637
45,32,0.0005,10,1.5794257348646406,1.1063568472862244,2.487546563461023
30,32,0.001,5,1.857498471821595,1.385871261358261,3.154378272952872
45,32,0.001,17,2.0303700030648875,1.3796191811561584,3.2289078607479498
15,64,0.001,5,1.8356420320030324,1.4757454425096512,3.320886286714753
20,128,0.0001,31,1.90595523659541,1.4581232234835624,3.3217790160350478
15,128,0.0001,7,3.4327475084348142,2.7992522709071634,7.046169723919354
45,128,0.0001,1,5.090682541165028,3.75999116897583,10.832154769617146
30,128,0.0001,1,5.564404600352847,3.934584045410156,11.966286599080956
