model,feature_set,windows,lag_steps,n_features,best_epoch,n_engines_total,n_engines_padded,n_engines_full,rmse,mae,sequence_window_size,hidden_size,learning_rate
gru,rolling_mean,"(10,)",(),15,8,20,0,20,10.538991696692095,7.863584660347774,60,64,0.001
gru,rolling_mean,"(20,)",(),15,8,20,0,20,10.597233807552437,7.936783403584812,60,64,0.001
gru,rolling_mean,"(15,)",(),15,9,20,0,20,10.612287378795887,8.137321461047865,60,64,0.001
gru,raw,(),(),15,9,20,0,20,10.793303429022924,8.253714576486253,60,64,0.001
gru,rolling_mean,"(20,)",(),15,12,20,0,20,10.819977521616234,7.922525649529306,45,64,0.001
gru,rolling_mean,"(15,)",(),15,12,20,0,20,10.906667018661947,7.908362233855863,45,64,0.001
gru,rolling_mean,"(10,)",(),15,12,20,0,20,11.102834535133717,8.15644204146749,45,64,0.001
gru,raw,(),(),15,6,20,0,20,11.357008341282793,8.53197287367895,45,64,0.001
gru,rolling_mean,"(20,)",(),15,11,20,0,20,11.357606402819668,8.144952276985737,30,64,0.001
gru,rolling_mean,"(15,)",(),15,12,20,0,20,11.40078649036543,8.55250219842715,30,64,0.001
gru,rolling_mean,"(10,)",(),15,12,20,0,20,11.63462896112046,8.438268506949571,30,64,0.001
gru,raw,(),(),15,7,20,0,20,13.168271654491358,9.628766913963188,30,64,0.001
