model,feature_set,windows,lag_steps,n_features,best_epoch,n_engines_total,n_engines_padded,n_engines_full,rmse,mae,phm08_score,sequence_window_size,hidden_size,learning_rate
gru,raw,(),(),16,4,52,0,52,13.487932840331005,9.969586385798873,20889.608374068528,60,64,0.001
gru,rolling_mean,"(15,)",(),16,6,52,0,52,13.03925265585525,9.689947686814012,21727.688670147418,60,64,0.001
gru,rolling_mean,"(20,)",(),16,6,52,0,52,13.171238026799958,9.790958990494708,21745.520808367364,60,64,0.001
gru,rolling_mean,"(10,)",(),16,6,52,0,52,12.782342664420387,9.369898019420702,21914.833178660898,60,64,0.001
gru,rolling_mean,"(15,)",(),16,3,52,0,52,13.17315633107098,9.948778741400108,22145.49784982008,45,64,0.001
gru,rolling_mean,"(20,)",(),16,3,52,0,52,13.056895106218711,9.767517352617947,23230.81476453263,45,64,0.001
gru,rolling_mean,"(10,)",(),16,5,52,0,52,13.334850398125813,9.810154250139902,26243.70726068906,45,64,0.001
gru,raw,(),(),16,3,52,0,52,14.043662925610965,10.309854838514365,29561.5359632615,45,64,0.001
gru,rolling_mean,"(20,)",(),16,9,52,0,52,13.279996155126065,9.677492099803146,31177.319716781723,30,64,0.001
gru,rolling_mean,"(15,)",(),16,5,52,0,52,13.553473704238657,9.88475334077885,31315.47452684312,30,64,0.001
gru,rolling_mean,"(10,)",(),16,4,52,0,52,13.960359072740815,10.158840724592135,33527.07728262922,30,64,0.001
gru,raw,(),(),16,4,52,0,52,15.242840701041546,11.536925788650233,40407.80090466872,30,64,0.001
