model,feature_set,windows,lag_steps,n_features,best_epoch,n_engines_total,n_engines_padded,n_engines_full,rmse,mae,sequence_window_size,hidden_size,learning_rate
gru,rolling_mean,"(10,)",(),16,6,52,0,52,12.782342664420387,9.369898019420702,60,64,0.001
gru,rolling_mean,"(15,)",(),16,22,52,0,52,12.983626467744863,9.523093546751973,60,64,0.0003
gru,rolling_mean,"(15,)",(),16,6,52,0,52,13.03925265585525,9.689947686814012,60,64,0.001
gru,rolling_mean,"(15,)",(),16,6,52,0,52,13.065995205697565,9.669310546569235,60,128,0.0003
gru,rolling_mean,"(10,)",(),16,5,52,0,52,13.068898642594794,9.69127078751958,60,128,0.0003
gru,rolling_mean,"(10,)",(),16,11,52,0,52,13.088269342353666,9.695914083150667,60,64,0.0003
gru,rolling_mean,"(15,)",(),16,8,52,0,52,13.266301811081679,9.876378692322255,60,32,0.0003
gru,rolling_mean,"(10,)",(),16,5,52,0,52,13.291803250758536,9.83340969136877,60,32,0.001
gru,rolling_mean,"(15,)",(),16,5,52,0,52,13.306421855490404,9.910929102893501,60,32,0.001
gru,rolling_mean,"(10,)",(),16,14,52,0,52,13.323090466570635,9.825835627089445,60,32,0.0003
gru,rolling_mean,"(10,)",(),16,4,52,0,52,13.470991826397807,10.271058917310986,60,128,0.001
gru,rolling_mean,"(15,)",(),16,3,52,0,52,13.503017968033488,10.173047783448665,60,128,0.001
